record_type,student_id,program,cohort_year,course_id,term,section,session_date,attendance_status,assignment_id,due_date,submitted_at,score,max_score,assessment_date,assessment_type,action_date,action_type,outcome_note,staff_user
attendance,STU-1001,,,DATA-101,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1001,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1002,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-10-01,Late,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1003,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-09-24,Excused,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1004,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1005,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1006,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-09-03,Absent,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1007,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-09-10,Late,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1008,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-10-15,Absent,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1009,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-10-15,Absent,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-10-29,Excused,,,,,,,,,,,
attendance,STU-1010,,,DATA-101,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1011,,,CS-204,,,2026-11-05,Late,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1012,,,CS-204,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1013,,,CS-204,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-09-24,Late,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1014,,,CS-204,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1015,,,CS-204,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-09-03,Absent,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1016,,,CS-204,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1017,,,CS-204,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1018,,,CS-204,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-09-17,Absent,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-10-15,Excused,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1019,,,CS-204,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-09-24,Absent,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-10-08,Excused,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-10-29,Absent,,,,,,,,,,,
attendance,STU-1020,,,CS-204,,,2026-11-05,Excused,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-09-03,Absent,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-09-10,Absent,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-09-17,Excused,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1021,,,STAT-301,,,2026-11-05,Absent,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-09-10,Late,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-10-01,Absent,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-10-08,Absent,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1022,,,STAT-301,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-09-03,Absent,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-10-22,Excused,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1023,,,STAT-301,,,2026-11-05,Absent,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-10-15,Absent,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1024,,,STAT-301,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-09-10,Late,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-09-24,Absent,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-10-08,Absent,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-10-29,Absent,,,,,,,,,,,
attendance,STU-1025,,,STAT-301,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-09-03,Present,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-09-10,Absent,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-10-01,Absent,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-10-08,Absent,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-10-22,Present,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1026,,,STAT-301,,,2026-11-05,Absent,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-09-03,Absent,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-09-10,Absent,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-09-17,Present,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-09-24,Present,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-10-01,Absent,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-10-08,Absent,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-10-15,Excused,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-10-22,Absent,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-10-29,Absent,,,,,,,,,,,
attendance,STU-1027,,,STAT-301,,,2026-11-05,Present,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-09-03,Absent,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-09-10,Present,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-09-17,Absent,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-09-24,Absent,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-10-01,Present,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-10-08,Present,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-10-15,Present,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-10-22,Late,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-10-29,Present,,,,,,,,,,,
attendance,STU-1028,,,STAT-301,,,2026-11-05,Late,,,,,,,,,,,
attendance,STU-1029,,,STAT-301,,,2026-09-03,Absent,,,,,,,,,,,
attendance,STU-1029,,,STAT-301,,,2026-09-10,Present,,,,,,,,,,,
