student_id,course_id,term,section,attendance_rate,recent_attendance_rate,submission_completion_rate,late_submission_rate,assignment_average,assessment_average,missing_assignments,engagement_trend,total_sessions,present_sessions,excused_sessions,absent_sessions,total_assignments,submitted_assignments,late_assignments,calculated_at
STU-1006,CS-204,Fall 2026,Section A,94.7,100.0,100.0,0.0,67.8,67.9,0,stable,20,18,1,1,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1007,STAT-301,Spring 2026,Section C,97.5,97.5,100.0,25.0,85.1,77.6,0,stable,20,19,0,0,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1007,MATH-150,Fall 2026,Section A,100.0,100.0,100.0,0.0,85.6,77.6,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1007,DATA-101,Spring 2026,Section A,97.5,97.5,100.0,25.0,83.2,93.2,0,stable,20,19,0,0,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1008,CS-204,Spring 2026,Section B,95.0,95.0,100.0,25.0,70.0,85.4,0,stable,20,19,0,1,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1008,STAT-301,Spring 2026,Section C,92.5,92.5,100.0,25.0,71.6,82.6,0,stable,20,18,0,1,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1009,MATH-150,Spring 2026,Section B,60.5,60.5,50.0,100.0,22.2,45.0,2,declining,20,10,1,6,4,2,2,2026-09-01T04:26:00.647836+00:00
STU-1009,CS-204,Fall 2026,Section A,63.2,80.0,25.0,100.0,13.0,52.2,3,declining,20,12,1,7,4,1,1,2026-09-01T04:26:00.647836+00:00
STU-1009,STAT-301,Fall 2026,Section A,60.5,90.0,50.0,50.0,21.1,32.7,2,declining,20,11,1,7,4,2,1,2026-09-01T04:26:00.647836+00:00
STU-1010,DATA-101,Fall 2026,Section A,80.0,60.0,75.0,0.0,32.2,48.8,1,declining,20,16,0,4,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1010,MATH-150,Fall 2026,Section B,69.4,60.0,50.0,0.0,19.2,42.5,2,declining,20,12,2,5,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1011,CS-204,Spring 2026,Section C,68.4,68.4,50.0,0.0,27.1,36.4,2,declining,20,13,1,6,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1011,STAT-301,Fall 2026,Section A,52.5,40.0,50.0,0.0,25.6,29.7,2,declining,20,10,0,9,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1011,DATA-101,Spring 2026,Section B,70.0,70.0,50.0,50.0,25.0,48.6,2,declining,20,13,0,5,4,2,1,2026-09-01T04:26:00.647836+00:00
STU-1012,MATH-150,Fall 2026,Section A,97.5,100.0,100.0,0.0,83.3,94.4,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1012,CS-204,Fall 2026,Section A,97.5,100.0,100.0,0.0,83.6,86.4,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1013,MATH-150,Fall 2026,Section B,86.8,80.0,75.0,0.0,56.5,76.2,1,stable,20,15,1,1,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1013,CS-204,Fall 2026,Section A,100.0,100.0,25.0,100.0,15.1,59.4,3,declining,20,19,1,0,4,1,1,2026-09-01T04:26:00.647836+00:00
STU-1013,STAT-301,Spring 2026,Section C,94.7,94.7,75.0,66.7,52.4,72.2,1,stable,20,17,1,0,4,3,2,2026-09-01T04:26:00.647836+00:00
STU-1014,DATA-101,Fall 2026,Section A,92.5,90.0,75.0,33.3,69.9,84.0,1,stable,20,17,0,0,4,3,1,2026-09-01T04:26:00.647836+00:00
STU-1014,CS-204,Spring 2026,Section B,100.0,100.0,100.0,0.0,84.8,86.6,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1015,STAT-301,Spring 2026,Section B,100.0,100.0,100.0,0.0,92.0,92.0,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1015,DATA-101,Spring 2026,Section C,100.0,100.0,100.0,0.0,93.8,91.8,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1016,MATH-150,Fall 2026,Section B,92.5,90.0,75.0,33.3,56.0,66.4,1,stable,20,18,0,1,4,3,1,2026-09-01T04:26:00.647836+00:00
STU-1016,DATA-101,Spring 2026,Section C,95.0,95.0,100.0,0.0,69.5,86.8,0,stable,20,19,0,1,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1016,STAT-301,Fall 2026,Section B,100.0,100.0,75.0,66.7,57.8,70.2,1,stable,20,19,1,0,4,3,2,2026-09-01T04:26:00.647836+00:00
STU-1017,MATH-150,Spring 2026,Section C,65.0,65.0,25.0,0.0,8.9,40.7,3,declining,20,13,0,7,4,1,0,2026-09-01T04:26:00.647836+00:00
STU-1017,CS-204,Spring 2026,Section B,78.9,78.9,50.0,0.0,29.7,37.9,2,declining,20,14,1,3,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1017,DATA-101,Spring 2026,Section A,44.1,44.1,50.0,0.0,16.2,52.0,2,declining,20,7,3,9,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1018,STAT-301,Fall 2026,Section B,100.0,100.0,75.0,0.0,48.2,65.4,1,stable,20,19,1,0,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1018,MATH-150,Spring 2026,Section B,92.5,92.5,100.0,0.0,73.4,58.8,0,stable,20,18,0,1,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1019,CS-204,Spring 2026,Section C,97.5,97.5,100.0,0.0,83.6,90.4,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1019,STAT-301,Spring 2026,Section A,100.0,100.0,100.0,0.0,79.7,93.6,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1020,MATH-150,Spring 2026,Section B,92.5,92.5,100.0,0.0,90.1,76.9,0,stable,20,17,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1020,CS-204,Fall 2026,Section C,100.0,100.0,100.0,0.0,88.6,81.0,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1021,STAT-301,Fall 2026,Section C,88.9,100.0,75.0,0.0,39.7,69.9,1,stable,20,16,2,2,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1021,MATH-150,Spring 2026,Section A,100.0,100.0,100.0,50.0,67.2,66.6,0,stable,20,20,0,0,4,4,2,2026-09-01T04:26:00.647836+00:00
STU-1022,CS-204,Spring 2026,Section A,100.0,100.0,100.0,25.0,84.4,82.9,0,stable,20,20,0,0,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1022,DATA-101,Spring 2026,Section B,97.5,97.5,100.0,0.0,89.0,87.6,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1023,CS-204,Fall 2026,Section A,90.0,100.0,100.0,25.0,64.9,63.9,0,improving,20,18,0,2,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1023,DATA-101,Spring 2026,Section B,100.0,100.0,75.0,33.3,50.4,66.4,1,stable,20,20,0,0,4,3,1,2026-09-01T04:26:00.647836+00:00
STU-1024,CS-204,Fall 2026,Section A,90.0,90.0,100.0,0.0,90.3,79.4,0,stable,20,16,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1024,DATA-101,Spring 2026,Section B,100.0,100.0,100.0,0.0,87.9,87.8,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1025,CS-204,Fall 2026,Section B,82.5,70.0,100.0,25.0,48.7,54.8,0,declining,20,15,0,2,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1025,DATA-101,Spring 2026,Section B,55.6,55.6,25.0,100.0,15.2,49.2,3,declining,20,10,2,8,4,1,1,2026-09-01T04:26:00.647836+00:00
STU-1026,DATA-101,Spring 2026,Section A,97.5,97.5,100.0,0.0,85.0,84.2,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1026,STAT-301,Fall 2026,Section C,97.5,100.0,100.0,0.0,86.6,90.6,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1027,MATH-150,Fall 2026,Section A,62.5,20.0,50.0,0.0,24.4,40.0,2,declining,20,12,0,7,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1027,CS-204,Fall 2026,Section C,65.0,30.0,75.0,66.7,34.2,38.1,1,declining,20,12,0,6,4,3,2,2026-09-01T04:26:00.647836+00:00
STU-1028,DATA-101,Fall 2026,Section A,92.1,100.0,75.0,0.0,48.6,70.4,1,stable,20,17,1,1,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1028,MATH-150,Spring 2026,Section A,85.0,85.0,100.0,25.0,62.5,57.3,0,stable,20,17,0,3,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1029,STAT-301,Spring 2026,Section C,100.0,100.0,100.0,0.0,89.9,84.2,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1029,MATH-150,Fall 2026,Section A,95.0,90.0,100.0,0.0,83.0,83.8,0,stable,20,18,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1029,CS-204,Spring 2026,Section B,97.5,97.5,100.0,25.0,90.0,84.3,0,stable,20,19,0,0,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1030,DATA-101,Spring 2026,Section B,63.9,63.9,100.0,0.0,43.1,56.7,0,stable,20,11,2,6,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1030,MATH-150,Fall 2026,Section A,71.1,50.0,50.0,50.0,31.8,45.6,2,declining,20,13,1,5,4,2,1,2026-09-01T04:26:00.647836+00:00
STU-1031,STAT-301,Fall 2026,Section A,95.0,100.0,100.0,0.0,85.8,74.1,0,stable,20,18,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1031,CS-204,Spring 2026,Section B,97.5,97.5,100.0,0.0,83.4,96.3,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1032,MATH-150,Fall 2026,Section C,95.0,80.0,100.0,0.0,68.8,87.6,0,declining,20,19,0,1,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1032,CS-204,Spring 2026,Section A,90.0,90.0,75.0,0.0,53.6,79.0,1,stable,20,18,0,2,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1032,DATA-101,Fall 2026,Section B,92.5,70.0,50.0,0.0,32.1,74.2,2,declining,20,18,0,1,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1033,MATH-150,Spring 2026,Section A,95.0,95.0,100.0,25.0,83.0,87.6,0,stable,20,18,0,0,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1033,CS-204,Spring 2026,Section A,97.5,97.5,100.0,0.0,83.6,83.4,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1034,DATA-101,Spring 2026,Section B,71.1,71.1,100.0,0.0,69.3,81.1,0,stable,20,13,1,5,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1034,MATH-150,Spring 2026,Section A,87.5,87.5,75.0,0.0,49.9,64.0,1,stable,20,17,0,2,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1035,DATA-101,Fall 2026,Section C,97.5,90.0,100.0,0.0,82.6,75.8,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1035,CS-204,Fall 2026,Section C,97.5,90.0,100.0,0.0,92.8,72.7,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1036,STAT-301,Spring 2026,Section C,95.0,95.0,100.0,0.0,81.5,79.4,0,stable,20,18,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1036,CS-204,Spring 2026,Section C,97.5,97.5,100.0,0.0,84.2,80.5,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1037,STAT-301,Spring 2026,Section C,100.0,100.0,75.0,33.3,64.7,79.8,1,stable,20,20,0,0,4,3,1,2026-09-01T04:26:00.647836+00:00
STU-1037,CS-204,Fall 2026,Section C,95.0,90.0,100.0,0.0,79.2,92.6,0,stable,20,18,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1037,DATA-101,Spring 2026,Section B,97.5,97.5,100.0,0.0,83.4,90.5,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1038,CS-204,Spring 2026,Section C,100.0,100.0,100.0,50.0,58.8,67.2,0,stable,20,19,1,0,4,4,2,2026-09-01T04:26:00.647836+00:00
STU-1038,STAT-301,Spring 2026,Section A,89.5,89.5,25.0,0.0,21.1,69.6,3,declining,20,16,1,1,4,1,0,2026-09-01T04:26:00.647836+00:00
STU-1038,MATH-150,Spring 2026,Section A,95.0,95.0,100.0,75.0,79.0,55.2,0,stable,20,19,0,1,4,4,3,2026-09-01T04:26:00.647836+00:00
STU-1039,STAT-301,Fall 2026,Section C,100.0,100.0,100.0,0.0,79.7,87.4,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1039,CS-204,Spring 2026,Section A,97.5,97.5,100.0,0.0,89.8,87.6,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1040,STAT-301,Spring 2026,Section C,97.5,97.5,100.0,0.0,81.9,83.2,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1040,MATH-150,Fall 2026,Section A,97.5,90.0,100.0,0.0,85.8,80.7,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1041,STAT-301,Spring 2026,Section C,100.0,100.0,100.0,0.0,82.3,83.8,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1041,DATA-101,Spring 2026,Section C,97.5,97.5,100.0,0.0,84.5,81.5,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1042,DATA-101,Spring 2026,Section C,100.0,100.0,75.0,0.0,63.0,84.6,1,stable,20,20,0,0,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1042,CS-204,Spring 2026,Section A,100.0,100.0,100.0,0.0,76.7,82.4,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1043,DATA-101,Spring 2026,Section C,75.0,75.0,25.0,0.0,13.2,34.7,3,declining,20,13,2,4,4,1,0,2026-09-01T04:26:00.647836+00:00
STU-1043,CS-204,Fall 2026,Section B,62.5,60.0,50.0,0.0,16.9,40.2,2,declining,20,12,0,7,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1044,CS-204,Fall 2026,Section B,97.5,100.0,100.0,0.0,86.8,82.6,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1044,STAT-301,Spring 2026,Section B,97.5,97.5,100.0,0.0,82.5,85.7,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1045,CS-204,Fall 2026,Section A,95.0,100.0,100.0,25.0,86.0,87.4,0,stable,20,18,0,0,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1045,STAT-301,Spring 2026,Section C,97.5,97.5,100.0,0.0,83.1,84.4,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1045,MATH-150,Fall 2026,Section B,100.0,100.0,100.0,25.0,92.2,75.2,0,stable,20,20,0,0,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1046,DATA-101,Spring 2026,Section B,100.0,100.0,100.0,0.0,90.8,97.6,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1046,MATH-150,Fall 2026,Section A,100.0,100.0,100.0,0.0,92.6,92.6,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1047,MATH-150,Spring 2026,Section A,97.5,97.5,100.0,0.0,88.4,93.2,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1047,DATA-101,Spring 2026,Section A,95.0,95.0,100.0,0.0,84.5,81.9,0,stable,20,18,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1048,MATH-150,Spring 2026,Section B,88.9,88.9,100.0,0.0,65.4,58.1,0,stable,20,16,2,2,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1048,STAT-301,Spring 2026,Section C,65.0,65.0,100.0,0.0,61.3,61.8,0,stable,20,13,0,7,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1049,MATH-150,Spring 2026,Section C,100.0,100.0,100.0,0.0,90.7,72.9,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1049,STAT-301,Spring 2026,Section A,97.5,97.5,100.0,0.0,89.8,88.0,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1050,CS-204,Spring 2026,Section A,67.5,67.5,50.0,0.0,23.2,52.2,2,declining,20,13,0,6,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1050,MATH-150,Fall 2026,Section C,92.5,70.0,75.0,33.3,33.5,64.4,1,declining,20,18,0,1,4,3,1,2026-09-01T04:26:00.647836+00:00
STU-1051,MATH-150,Fall 2026,Section C,100.0,100.0,100.0,0.0,93.9,96.3,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1051,CS-204,Fall 2026,Section C,100.0,100.0,100.0,0.0,93.2,88.7,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1052,DATA-101,Spring 2026,Section A,68.4,68.4,50.0,0.0,33.2,49.0,2,declining,20,12,1,5,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1052,STAT-301,Fall 2026,Section B,71.1,90.0,100.0,0.0,60.9,59.4,0,improving,20,13,1,5,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1053,STAT-301,Fall 2026,Section B,78.9,60.0,50.0,100.0,14.2,47.8,2,declining,20,15,1,4,4,2,2,2026-09-01T04:26:00.647836+00:00
STU-1053,DATA-101,Spring 2026,Section B,71.1,71.1,100.0,0.0,49.8,60.8,0,stable,20,13,1,5,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1053,MATH-150,Spring 2026,Section B,72.5,72.5,75.0,66.7,34.3,40.7,1,stable,20,14,0,5,4,3,2,2026-09-01T04:26:00.647836+00:00
STU-1054,DATA-101,Fall 2026,Section C,94.7,80.0,100.0,0.0,69.9,73.4,0,declining,20,18,1,1,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1054,MATH-150,Spring 2026,Section A,78.9,78.9,100.0,0.0,76.6,63.1,0,stable,20,14,1,3,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1055,STAT-301,Fall 2026,Section C,87.5,50.0,100.0,0.0,65.8,86.1,0,declining,20,17,0,2,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1055,DATA-101,Spring 2026,Section A,90.0,90.0,100.0,25.0,74.8,70.7,0,stable,20,17,0,1,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1056,STAT-301,Fall 2026,Section B,97.5,100.0,100.0,0.0,86.6,85.4,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1056,DATA-101,Spring 2026,Section C,100.0,100.0,100.0,0.0,87.6,85.0,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1057,MATH-150,Spring 2026,Section B,95.0,95.0,100.0,25.0,65.4,69.8,0,stable,20,19,0,1,4,4,1,2026-09-01T04:26:00.647836+00:00
STU-1057,CS-204,Fall 2026,Section A,92.5,100.0,100.0,0.0,58.9,66.4,0,improving,20,18,0,1,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1058,MATH-150,Fall 2026,Section C,97.4,87.5,100.0,50.0,71.2,69.8,0,stable,20,18,1,0,4,4,2,2026-09-01T04:26:00.647836+00:00
STU-1058,CS-204,Spring 2026,Section A,100.0,100.0,50.0,0.0,37.0,67.0,2,declining,20,19,1,0,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1058,STAT-301,Spring 2026,Section B,100.0,100.0,100.0,0.0,61.0,72.6,0,stable,20,18,2,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1059,MATH-150,Fall 2026,Section C,97.5,100.0,100.0,0.0,84.3,82.7,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1059,CS-204,Spring 2026,Section C,95.0,95.0,100.0,0.0,82.5,87.9,0,stable,20,18,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1060,DATA-101,Fall 2026,Section C,89.5,70.0,75.0,0.0,60.2,52.4,1,declining,20,16,1,1,4,3,0,2026-09-01T04:26:00.647836+00:00
STU-1060,MATH-150,Spring 2026,Section C,86.1,86.1,50.0,50.0,32.5,67.0,2,declining,20,14,2,1,4,2,1,2026-09-01T04:26:00.647836+00:00
STU-1061,DATA-101,Fall 2026,Section C,97.5,90.0,100.0,0.0,79.8,75.9,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1061,STAT-301,Fall 2026,Section C,100.0,100.0,100.0,0.0,87.0,87.7,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1061,MATH-150,Fall 2026,Section B,97.5,90.0,100.0,0.0,83.8,92.1,0,stable,20,19,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1062,DATA-101,Fall 2026,Section B,85.0,100.0,100.0,75.0,67.5,67.9,0,improving,20,17,0,3,4,4,3,2026-09-01T04:26:00.647836+00:00
STU-1062,MATH-150,Fall 2026,Section A,72.2,80.0,75.0,33.3,48.4,70.0,1,stable,20,13,2,5,4,3,1,2026-09-01T04:26:00.647836+00:00
STU-1062,STAT-301,Spring 2026,Section A,70.0,70.0,75.0,33.3,40.1,64.8,1,stable,20,13,0,5,4,3,1,2026-09-01T04:26:00.647836+00:00
STU-1063,STAT-301,Spring 2026,Section A,90.0,90.0,100.0,100.0,44.5,54.8,0,stable,20,17,0,1,4,4,4,2026-09-01T04:26:00.647836+00:00
STU-1063,CS-204,Spring 2026,Section B,72.5,72.5,25.0,100.0,13.8,47.4,3,declining,20,13,0,4,4,1,1,2026-09-01T04:26:00.647836+00:00
STU-1063,DATA-101,Fall 2026,Section B,72.2,25.0,25.0,0.0,6.3,48.8,3,declining,20,13,2,5,4,1,0,2026-09-01T04:26:00.647836+00:00
STU-1064,STAT-301,Spring 2026,Section A,90.0,90.0,75.0,66.7,45.8,73.0,1,stable,20,17,0,1,4,3,2,2026-09-01T04:26:00.647836+00:00
STU-1064,CS-204,Fall 2026,Section A,92.5,100.0,75.0,66.7,52.8,70.1,1,stable,20,18,0,1,4,3,2,2026-09-01T04:26:00.647836+00:00
STU-1065,CS-204,Fall 2026,Section B,77.5,60.0,25.0,0.0,11.6,39.6,3,declining,20,14,0,3,4,1,0,2026-09-01T04:26:00.647836+00:00
STU-1065,MATH-150,Fall 2026,Section A,81.6,25.0,50.0,0.0,22.2,49.7,2,declining,20,15,1,3,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1065,DATA-101,Spring 2026,Section B,67.5,67.5,0.0,0.0,0.0,38.6,4,declining,20,13,0,6,4,0,0,2026-09-01T04:26:00.647836+00:00
STU-1066,CS-204,Fall 2026,Section A,97.5,100.0,75.0,33.3,66.2,83.2,1,stable,20,19,0,0,4,3,1,2026-09-01T04:26:00.647836+00:00
STU-1066,DATA-101,Fall 2026,Section B,92.5,80.0,100.0,0.0,89.6,88.6,0,declining,20,17,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1066,MATH-150,Spring 2026,Section A,95.0,95.0,100.0,0.0,90.0,89.2,0,stable,20,18,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1067,CS-204,Spring 2026,Section B,95.0,95.0,100.0,0.0,79.0,78.0,0,stable,20,18,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1067,MATH-150,Spring 2026,Section A,100.0,100.0,100.0,0.0,86.5,88.1,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1068,CS-204,Fall 2026,Section B,92.1,80.0,100.0,50.0,67.7,71.3,0,declining,20,17,1,1,4,4,2,2026-09-01T04:26:00.647836+00:00
STU-1068,DATA-101,Spring 2026,Section A,90.0,90.0,50.0,0.0,40.9,62.2,2,declining,20,18,0,2,4,2,0,2026-09-01T04:26:00.647836+00:00
STU-1069,DATA-101,Spring 2026,Section C,100.0,100.0,100.0,0.0,93.4,95.7,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
STU-1069,CS-204,Spring 2026,Section A,100.0,100.0,100.0,0.0,93.7,91.4,0,stable,20,20,0,0,4,4,0,2026-09-01T04:26:00.647836+00:00
