student_id,course_id,assessment_date,assessment_type,score,max_score
STU-1019,CS-204,2026-10-15,Quiz 2,66.0,100.0
STU-1019,CS-204,2026-11-05,Final Exam,60.6,100.0
STU-1020,CS-204,2026-09-10,Quiz 1,60.3,100.0
STU-1020,CS-204,2026-09-30,Midterm Exam,64.6,100.0
STU-1020,CS-204,2026-10-15,Quiz 2,63.5,100.0
STU-1020,CS-204,2026-11-05,Final Exam,68.8,100.0
STU-1021,STAT-301,2026-09-10,Quiz 1,67.9,100.0
STU-1021,STAT-301,2026-09-30,Midterm Exam,71.3,100.0
STU-1021,STAT-301,2026-10-15,Quiz 2,69.9,100.0
STU-1021,STAT-301,2026-11-05,Final Exam,70.7,100.0
STU-1022,STAT-301,2026-09-10,Quiz 1,73.2,100.0
STU-1022,STAT-301,2026-09-30,Midterm Exam,65.8,100.0
STU-1022,STAT-301,2026-10-15,Quiz 2,64.9,100.0
STU-1022,STAT-301,2026-11-05,Final Exam,74.8,100.0
STU-1023,STAT-301,2026-09-10,Quiz 1,62.2,100.0
STU-1023,STAT-301,2026-09-30,Midterm Exam,70.9,100.0
STU-1023,STAT-301,2026-10-15,Quiz 2,69.6,100.0
STU-1023,STAT-301,2026-11-05,Final Exam,60.7,100.0
STU-1024,STAT-301,2026-09-10,Quiz 1,72.5,100.0
STU-1024,STAT-301,2026-09-30,Midterm Exam,73.4,100.0
STU-1024,STAT-301,2026-10-15,Quiz 2,69.4,100.0
STU-1024,STAT-301,2026-11-05,Final Exam,71.0,100.0
STU-1025,STAT-301,2026-09-10,Quiz 1,46.4,100.0
STU-1025,STAT-301,2026-09-30,Midterm Exam,37.0,100.0
STU-1025,STAT-301,2026-10-15,Quiz 2,42.3,100.0
STU-1025,STAT-301,2026-11-05,Final Exam,42.1,100.0
STU-1026,STAT-301,2026-09-10,Quiz 1,46.7,100.0
STU-1026,STAT-301,2026-09-30,Midterm Exam,46.3,100.0
STU-1026,STAT-301,2026-10-15,Quiz 2,46.6,100.0
STU-1026,STAT-301,2026-11-05,Final Exam,43.2,100.0
STU-1027,STAT-301,2026-09-10,Quiz 1,47.5,100.0
STU-1027,STAT-301,2026-09-30,Midterm Exam,44.6,100.0
STU-1027,STAT-301,2026-10-15,Quiz 2,44.7,100.0
STU-1027,STAT-301,2026-11-05,Final Exam,38.2,100.0
STU-1028,STAT-301,2026-09-10,Quiz 1,35.4,100.0
STU-1028,STAT-301,2026-09-30,Midterm Exam,36.9,100.0
STU-1028,STAT-301,2026-10-15,Quiz 2,40.0,100.0
STU-1028,STAT-301,2026-11-05,Final Exam,36.5,100.0
STU-1029,STAT-301,2026-09-10,Quiz 1,46.7,100.0
STU-1029,STAT-301,2026-09-30,Midterm Exam,42.8,100.0
STU-1029,STAT-301,2026-10-15,Quiz 2,43.8,100.0
STU-1029,STAT-301,2026-11-05,Final Exam,43.8,100.0
STU-1030,STAT-301,2026-09-10,Quiz 1,44.5,100.0
STU-1030,STAT-301,2026-09-30,Midterm Exam,41.9,100.0
STU-1030,STAT-301,2026-10-15,Quiz 2,35.0,100.0
STU-1030,STAT-301,2026-11-05,Final Exam,46.2,100.0
