student_id,course_id,term,section
STU-1122,CS-204,Fall 2026,Section A
STU-1123,CS-204,Fall 2026,Section B
STU-1123,MATH-150,Fall 2026,Section B
STU-1124,MATH-150,Fall 2026,Section B
STU-1124,STAT-301,Spring 2026,Section C
STU-1125,CS-204,Spring 2026,Section B
STU-1125,DATA-101,Spring 2026,Section A
STU-1126,DATA-101,Spring 2026,Section B
STU-1126,CS-204,Spring 2026,Section B
STU-1126,STAT-301,Spring 2026,Section B
STU-1127,STAT-301,Spring 2026,Section A
STU-1127,CS-204,Fall 2026,Section B
STU-1128,STAT-301,Fall 2026,Section B
STU-1128,MATH-150,Fall 2026,Section B
STU-1129,DATA-101,Fall 2026,Section A
STU-1129,CS-204,Fall 2026,Section B
STU-1129,MATH-150,Fall 2026,Section C
STU-1130,STAT-301,Spring 2026,Section B
STU-1130,DATA-101,Spring 2026,Section C
STU-1131,STAT-301,Spring 2026,Section A
STU-1131,DATA-101,Spring 2026,Section B
STU-1131,MATH-150,Spring 2026,Section B
STU-1132,DATA-101,Fall 2026,Section B
STU-1132,CS-204,Fall 2026,Section A
STU-1133,CS-204,Spring 2026,Section C
STU-1133,MATH-150,Spring 2026,Section B
STU-1133,DATA-101,Fall 2026,Section B
STU-1134,MATH-150,Spring 2026,Section A
STU-1134,STAT-301,Spring 2026,Section B
STU-1135,DATA-101,Fall 2026,Section B
STU-1135,CS-204,Fall 2026,Section B
STU-1135,MATH-150,Spring 2026,Section B
STU-1136,MATH-150,Spring 2026,Section C
STU-1136,CS-204,Spring 2026,Section B
STU-1137,DATA-101,Fall 2026,Section A
STU-1137,STAT-301,Spring 2026,Section C
STU-1137,MATH-150,Spring 2026,Section B
STU-1138,MATH-150,Spring 2026,Section A
STU-1138,DATA-101,Spring 2026,Section A
STU-1139,MATH-150,Spring 2026,Section A
STU-1139,STAT-301,Fall 2026,Section A
STU-1140,CS-204,Fall 2026,Section A
STU-1140,DATA-101,Fall 2026,Section A
STU-1140,MATH-150,Spring 2026,Section B
STU-1141,CS-204,Fall 2026,Section B
STU-1141,MATH-150,Fall 2026,Section B
STU-1142,DATA-101,Spring 2026,Section B
STU-1142,MATH-150,Fall 2026,Section A
STU-1142,CS-204,Fall 2026,Section C
STU-1143,MATH-150,Fall 2026,Section B
STU-1143,STAT-301,Fall 2026,Section A
STU-1144,STAT-301,Spring 2026,Section A
STU-1144,CS-204,Spring 2026,Section C
STU-1145,MATH-150,Fall 2026,Section A
STU-1145,CS-204,Fall 2026,Section B
STU-1146,MATH-150,Fall 2026,Section C
STU-1146,STAT-301,Spring 2026,Section C
STU-1147,MATH-150,Fall 2026,Section C
STU-1147,CS-204,Fall 2026,Section B
STU-1148,MATH-150,Spring 2026,Section C
STU-1148,CS-204,Fall 2026,Section B
STU-1148,STAT-301,Fall 2026,Section A
STU-1149,MATH-150,Fall 2026,Section C
STU-1149,CS-204,Fall 2026,Section B
STU-1149,STAT-301,Fall 2026,Section A
STU-1150,STAT-301,Spring 2026,Section C
STU-1150,MATH-150,Fall 2026,Section C
STU-1151,CS-204,Fall 2026,Section B
STU-1151,MATH-150,Fall 2026,Section A
STU-1151,STAT-301,Spring 2026,Section B
STU-1152,CS-204,Fall 2026,Section C
STU-1152,MATH-150,Fall 2026,Section B
STU-1153,DATA-101,Spring 2026,Section B
STU-1153,STAT-301,Spring 2026,Section C
STU-1154,CS-204,Fall 2026,Section A
STU-1154,MATH-150,Spring 2026,Section A
STU-1155,CS-204,Spring 2026,Section B
STU-1155,MATH-150,Fall 2026,Section A
STU-1155,STAT-301,Fall 2026,Section C
STU-1156,CS-204,Spring 2026,Section A
STU-1156,MATH-150,Fall 2026,Section A
STU-1157,DATA-101,Fall 2026,Section C
STU-1157,MATH-150,Spring 2026,Section A
STU-1157,CS-204,Fall 2026,Section C
STU-1158,STAT-301,Spring 2026,Section B
STU-1158,DATA-101,Fall 2026,Section A
STU-1159,DATA-101,Spring 2026,Section C
STU-1159,STAT-301,Fall 2026,Section C
STU-1159,MATH-150,Fall 2026,Section B
STU-1160,STAT-301,Fall 2026,Section A
STU-1160,CS-204,Spring 2026,Section A
STU-1160,DATA-101,Fall 2026,Section B
STU-1161,CS-204,Fall 2026,Section B
STU-1161,DATA-101,Fall 2026,Section A
STU-1162,CS-204,Fall 2026,Section A
STU-1162,STAT-301,Fall 2026,Section C
STU-1163,CS-204,Spring 2026,Section C
STU-1163,DATA-101,Fall 2026,Section B
STU-1164,CS-204,Fall 2026,Section C
STU-1164,STAT-301,Spring 2026,Section B
STU-1165,CS-204,Fall 2026,Section B
STU-1165,DATA-101,Spring 2026,Section A
STU-1166,MATH-150,Spring 2026,Section A
STU-1166,STAT-301,Spring 2026,Section A
STU-1167,CS-204,Spring 2026,Section C
STU-1167,DATA-101,Spring 2026,Section A
STU-1168,CS-204,Spring 2026,Section C
STU-1168,MATH-150,Spring 2026,Section A
STU-1169,CS-204,Spring 2026,Section C
STU-1169,MATH-150,Spring 2026,Section C
STU-1169,DATA-101,Fall 2026,Section B
STU-1170,STAT-301,Spring 2026,Section A
STU-1170,MATH-150,Spring 2026,Section A
STU-1171,MATH-150,Fall 2026,Section A
STU-1171,CS-204,Fall 2026,Section C
STU-1171,DATA-101,Fall 2026,Section B
STU-1172,MATH-150,Fall 2026,Section A
STU-1172,DATA-101,Fall 2026,Section B
STU-1173,STAT-301,Fall 2026,Section B
STU-1173,DATA-101,Fall 2026,Section C
STU-1174,CS-204,Spring 2026,Section C
STU-1174,STAT-301,Spring 2026,Section A
STU-1175,STAT-301,Fall 2026,Section C
STU-1175,MATH-150,Spring 2026,Section C
STU-1176,DATA-101,Spring 2026,Section B
STU-1176,MATH-150,Fall 2026,Section A
STU-1177,DATA-101,Fall 2026,Section C
STU-1177,STAT-301,Spring 2026,Section C
STU-1177,MATH-150,Spring 2026,Section A
STU-1178,DATA-101,Spring 2026,Section A
STU-1178,MATH-150,Fall 2026,Section A
STU-1179,CS-204,Fall 2026,Section A
STU-1179,DATA-101,Fall 2026,Section A
STU-1179,STAT-301,Fall 2026,Section B
STU-1180,MATH-150,Fall 2026,Section A
STU-1180,CS-204,Spring 2026,Section A
STU-1180,DATA-101,Fall 2026,Section B
STU-1181,MATH-150,Fall 2026,Section B
STU-1181,STAT-301,Spring 2026,Section A
STU-1182,MATH-150,Fall 2026,Section B
STU-1182,CS-204,Spring 2026,Section B
STU-1183,MATH-150,Fall 2026,Section B
STU-1183,DATA-101,Spring 2026,Section A
STU-1183,CS-204,Spring 2026,Section C
STU-1184,CS-204,Spring 2026,Section B
STU-1184,STAT-301,Spring 2026,Section B
STU-1184,DATA-101,Spring 2026,Section B
STU-1185,MATH-150,Spring 2026,Section A
STU-1185,DATA-101,Spring 2026,Section A
STU-1186,CS-204,Fall 2026,Section C
STU-1186,DATA-101,Spring 2026,Section B
STU-1187,MATH-150,Spring 2026,Section B
STU-1187,CS-204,Spring 2026,Section B
STU-1188,DATA-101,Fall 2026,Section B
STU-1188,CS-204,Fall 2026,Section A
STU-1188,MATH-150,Spring 2026,Section B
STU-1189,STAT-301,Spring 2026,Section C
STU-1189,MATH-150,Fall 2026,Section C
STU-1189,CS-204,Spring 2026,Section B
STU-1190,CS-204,Fall 2026,Section B
STU-1190,DATA-101,Fall 2026,Section C
STU-1190,MATH-150,Fall 2026,Section B
STU-1191,MATH-150,Spring 2026,Section A
STU-1191,STAT-301,Fall 2026,Section A
STU-1191,DATA-101,Fall 2026,Section A
STU-1192,MATH-150,Fall 2026,Section B
STU-1192,CS-204,Fall 2026,Section B
STU-1192,DATA-101,Spring 2026,Section C
STU-1193,MATH-150,Spring 2026,Section C
STU-1193,STAT-301,Spring 2026,Section C
STU-1194,DATA-101,Spring 2026,Section A
STU-1194,STAT-301,Spring 2026,Section C
STU-1195,MATH-150,Spring 2026,Section A
STU-1195,STAT-301,Fall 2026,Section B
STU-1196,DATA-101,Spring 2026,Section C
STU-1196,MATH-150,Spring 2026,Section C
STU-1197,MATH-150,Fall 2026,Section B
STU-1197,DATA-101,Fall 2026,Section C
STU-1198,CS-204,Fall 2026,Section C
STU-1198,MATH-150,Fall 2026,Section B
STU-1199,CS-204,Fall 2026,Section C
STU-1199,DATA-101,Fall 2026,Section A
STU-1199,STAT-301,Spring 2026,Section B
STU-1200,DATA-101,Fall 2026,Section A
STU-1200,STAT-301,Spring 2026,Section A
STU-1201,DATA-101,Fall 2026,Section B
STU-1201,CS-204,Fall 2026,Section C
STU-1202,MATH-150,Fall 2026,Section A
STU-1202,CS-204,Fall 2026,Section B
STU-1203,DATA-101,Fall 2026,Section C
STU-1203,MATH-150,Fall 2026,Section B
STU-1204,STAT-301,Spring 2026,Section C
STU-1204,CS-204,Spring 2026,Section B
STU-1204,MATH-150,Spring 2026,Section C
STU-1205,STAT-301,Spring 2026,Section C
STU-1205,DATA-101,Spring 2026,Section B
STU-1206,DATA-101,Fall 2026,Section A
STU-1206,CS-204,Spring 2026,Section C
STU-1206,STAT-301,Spring 2026,Section C
STU-1207,DATA-101,Fall 2026,Section C
STU-1207,STAT-301,Spring 2026,Section C
STU-1208,STAT-301,Spring 2026,Section C
STU-1208,CS-204,Spring 2026,Section C
STU-1209,DATA-101,Spring 2026,Section A
STU-1209,STAT-301,Spring 2026,Section A
STU-1210,STAT-301,Fall 2026,Section C
STU-1210,MATH-150,Spring 2026,Section B
STU-1210,CS-204,Fall 2026,Section B
STU-1211,MATH-150,Fall 2026,Section C
STU-1211,STAT-301,Spring 2026,Section B
STU-1212,CS-204,Fall 2026,Section A
STU-1212,STAT-301,Spring 2026,Section A
STU-1212,DATA-101,Spring 2026,Section C
STU-1213,MATH-150,Fall 2026,Section B
STU-1213,DATA-101,Fall 2026,Section A
STU-1213,CS-204,Fall 2026,Section A
STU-1214,DATA-101,Fall 2026,Section A
STU-1214,MATH-150,Spring 2026,Section B
STU-1214,CS-204,Spring 2026,Section A
STU-1215,STAT-301,Fall 2026,Section C
STU-1215,MATH-150,Fall 2026,Section C
STU-1215,CS-204,Spring 2026,Section A
STU-1216,STAT-301,Spring 2026,Section B
STU-1216,DATA-101,Spring 2026,Section C
STU-1216,MATH-150,Spring 2026,Section A
STU-1217,STAT-301,Spring 2026,Section A
STU-1217,DATA-101,Fall 2026,Section A
STU-1218,CS-204,Fall 2026,Section C
STU-1218,STAT-301,Spring 2026,Section A
STU-1219,MATH-150,Fall 2026,Section B
STU-1219,STAT-301,Fall 2026,Section C
STU-1220,CS-204,Spring 2026,Section B
STU-1220,MATH-150,Fall 2026,Section C
STU-1220,STAT-301,Fall 2026,Section A
STU-1221,DATA-101,Spring 2026,Section B
STU-1221,STAT-301,Fall 2026,Section B
STU-1222,MATH-150,Spring 2026,Section A
STU-1222,STAT-301,Spring 2026,Section A
STU-1223,DATA-101,Spring 2026,Section C
STU-1223,STAT-301,Fall 2026,Section B
STU-1223,CS-204,Spring 2026,Section C
STU-1224,MATH-150,Spring 2026,Section A
STU-1224,CS-204,Spring 2026,Section A
STU-1225,CS-204,Fall 2026,Section A
STU-1225,STAT-301,Spring 2026,Section C
STU-1225,DATA-101,Spring 2026,Section B
STU-1226,CS-204,Spring 2026,Section B
STU-1226,DATA-101,Spring 2026,Section B
STU-1226,MATH-150,Spring 2026,Section B
STU-1227,STAT-301,Fall 2026,Section C
STU-1227,CS-204,Spring 2026,Section A
STU-1228,STAT-301,Fall 2026,Section C
STU-1228,MATH-150,Spring 2026,Section B
STU-1229,CS-204,Spring 2026,Section C
STU-1229,STAT-301,Spring 2026,Section B
STU-1229,DATA-101,Fall 2026,Section A
STU-1230,CS-204,Fall 2026,Section B
STU-1230,STAT-301,Fall 2026,Section C
STU-1231,MATH-150,Fall 2026,Section A
STU-1231,CS-204,Fall 2026,Section B
STU-1232,CS-204,Fall 2026,Section C
STU-1232,DATA-101,Spring 2026,Section C
STU-1233,CS-204,Spring 2026,Section A
STU-1233,STAT-301,Fall 2026,Section A
STU-1234,MATH-150,Spring 2026,Section C
STU-1234,CS-204,Fall 2026,Section C
STU-1235,MATH-150,Spring 2026,Section C
STU-1235,STAT-301,Spring 2026,Section B
STU-1235,DATA-101,Spring 2026,Section B
STU-1236,DATA-101,Fall 2026,Section A
STU-1236,MATH-150,Spring 2026,Section C
STU-1237,CS-204,Spring 2026,Section C
STU-1237,DATA-101,Fall 2026,Section C
STU-1237,MATH-150,Fall 2026,Section B
STU-1238,MATH-150,Fall 2026,Section A
STU-1238,CS-204,Spring 2026,Section A
STU-1239,CS-204,Spring 2026,Section C
STU-1239,MATH-150,Spring 2026,Section A
STU-1239,DATA-101,Fall 2026,Section A
STU-1240,DATA-101,Fall 2026,Section C
STU-1240,MATH-150,Spring 2026,Section B
STU-1240,STAT-301,Fall 2026,Section A
STU-1241,CS-204,Fall 2026,Section A
STU-1241,STAT-301,Spring 2026,Section A
STU-1242,DATA-101,Spring 2026,Section B
STU-1242,STAT-301,Fall 2026,Section B
STU-1243,DATA-101,Fall 2026,Section C
STU-1243,MATH-150,Spring 2026,Section C
STU-1243,CS-204,Spring 2026,Section A
STU-1244,MATH-150,Spring 2026,Section C
STU-1244,STAT-301,Fall 2026,Section C
STU-1244,CS-204,Fall 2026,Section C
STU-1245,CS-204,Fall 2026,Section A
STU-1245,DATA-101,Spring 2026,Section A
STU-1246,CS-204,Spring 2026,Section B
STU-1246,STAT-301,Fall 2026,Section C
STU-1247,MATH-150,Spring 2026,Section B
STU-1247,DATA-101,Fall 2026,Section B
STU-1247,CS-204,Spring 2026,Section A
STU-1248,MATH-150,Fall 2026,Section C
STU-1248,STAT-301,Fall 2026,Section A
STU-1249,STAT-301,Spring 2026,Section C
STU-1249,MATH-150,Fall 2026,Section B
STU-1249,DATA-101,Fall 2026,Section B
STU-1250,MATH-150,Fall 2026,Section A
STU-1250,DATA-101,Spring 2026,Section A
STU-1251,DATA-101,Fall 2026,Section B
STU-1251,STAT-301,Fall 2026,Section B
STU-1251,CS-204,Spring 2026,Section B
STU-1252,CS-204,Fall 2026,Section A
STU-1252,MATH-150,Spring 2026,Section A
STU-1253,DATA-101,Fall 2026,Section C
STU-1253,MATH-150,Spring 2026,Section C
STU-1254,DATA-101,Spring 2026,Section C
STU-1254,STAT-301,Spring 2026,Section C
STU-1255,DATA-101,Fall 2026,Section B
STU-1255,MATH-150,Spring 2026,Section A
STU-1256,MATH-150,Fall 2026,Section B
STU-1256,CS-204,Fall 2026,Section C
STU-1257,CS-204,Fall 2026,Section B
STU-1257,STAT-301,Spring 2026,Section A
STU-1257,DATA-101,Spring 2026,Section C
STU-1258,MATH-150,Spring 2026,Section A
STU-1258,STAT-301,Spring 2026,Section B
STU-1259,STAT-301,Spring 2026,Section C
STU-1259,CS-204,Fall 2026,Section B
STU-1260,DATA-101,Spring 2026,Section A
STU-1260,CS-204,Fall 2026,Section A
STU-1260,STAT-301,Fall 2026,Section A
